id,name,channel,location,risk,demo,occlusions,notes
desk_front,前桌的答题卡,环境,正前方,低,y,被身体挡住|被手臂压住,不用转身；但要等角度（4.2）
flag,后墙《流动红旗》,环境,身后,高,y,被书包挡住一半|被糨糊洇湿,背对讲台；常有日期（4.2）
board,黑板残字,环境,侧前方,中,y,被擦掉一半|被下节课板书覆盖,上一节课留下的（4.2）
honor_roll,走廊红榜,环境,前方·门上小窗,中,y,被糨糊洇湿|被新榜覆盖,名字·分数·排名；糨糊未干（6.3）
photo,讲台玻璃板下的旧照片,环境,前方,极高,y,被玻璃反光吃掉|被粉笔灰盖住,正对老师视线；信息最独特（2.3 伏笔）
clock,墙上挂钟,环境,身后,中,y,,看时间有代价（3.2）
broadcast,校园广播（听觉）,环境,教室上方喇叭,低,y,被蝉鸣盖住|被呼吸声盖住,听觉源（3.1）；不是场景物件·但确实是可读的信息源。呼吸声会盖住它（2.1）
eraser,你自己的橡皮／笔袋夹层,环境,手边,低,y,,你进场前写的（4.2）
ledger,讲台记名册,环境,前方,极高,y,被合上|被翻到别的页,机制物件（2.6）；进度条做进场景里
rules_wall,《考场规则》墙,环境,墙上,低,y,被撕掉一角,含隐藏条款·写在背面（6.2）
paper_self,你自己的卷面／答题卡,环境,手边,无,y,,安全区；自指题的答案在这里
board_en,黑板上的英文单词,环境,侧前方,中,y,被擦掉一半,A 通道：与 board 同一块黑板（5.5.2）
phone_sms,手机短信,手机,口袋,最高,y,,发光＋失明＋震动有声（5.2）
phone_calc,手机计算器,手机,口袋,最高,y,,合法但掏手机本身有风险（5.2 C）
phone_outbox,手机发件箱,手机,口袋,最高,y,,你发出去的历史——「主动求救」比被动等待更恐怖（5.2 B）
phone_album,手机相册,手机,口袋,最高,y,,彩信附件与你自己拍的照片（5.2）；往届考生的脸在这里
fan,吊扇,环境,头顶,低,n,转速不对,吊扇上挂物（6.3）
door_glass,后门毛玻璃小窗,环境,身后,中,n,水汽,毛玻璃上的裂纹（4.2）
window,窗外,环境,四楼窗外,高,n,雨痕,窗外站着一个穿校服的人（6.3）
back_wall,后墙标语「距高考还有 XX 天」,环境,身后,高,n,,倒计时在增加（6.3）
textbook,课本,环境,抽屉,低,n,缺页,英语课内词通道；正式版
