key,src,register,en,en_status,max_chars,lines,font_variant,note
ui.menu.start,开始考试,界面,,n/a,,,,零 HUD 意味着界面字符串刻意极少
ui.menu.continue,继续,界面,,n/a,,,,
ui.menu.settings,设置,界面,,n/a,,,,
ui.menu.quit,退出考场,界面,,n/a,,,,中式措辞：不是「退出游戏」而是「交卷离场」
ui.setting.master_volume,主音量,界面,,n/a,,,,
ui.setting.subtitles,字幕,界面,,n/a,,,,
ui.setting.language,语言,界面,,n/a,,,,当前只有「中文」一个选项——B 永不做（决策 #28）
ui.pause.title,暂停,界面,,n/a,,,,
ui.pause.resume,继续,界面,,n/a,,,,
ui.pause.quit_confirm,确定离开考场吗？离场即视为交卷。,界面,,n/a,,,,
ui.loading.paper,正在分发试卷…,界面,,n/a,,,,
ui.error.missing_key,［缺文本：{0}］,内部,,n/a,,,,开发期回落；发布前命中数必须为 0
ui.note.zero_hud,本作没有 HUD。,界面,,n/a,,,,状态都做在世界里：时间在广播（3.1）· 记名在讲台（2.6）· 电量在手机（5.4）
ui.hint.title,怎么玩,界面,,n/a,,,,开局操作提示的标题
ui.hint.look,鼠标就是你的视线：抬头看教室，低头看卷子,界面,,n/a,,,,决策：抬头低头不再用右键切换，改由俯仰角判定
ui.hint.paper,只有低头盯着卷子才能作答 —— 那是唯一的安全区,界面,,n/a,,,,
ui.hint.flip,翻题：把视线对准卷子上的上一题 / 下一题按钮，点左键；也可以滚轮或 W S,界面,,n/a,,,,
ui.hint.answer,1 到 4 选答案；按住 Enter 交卷,界面,,n/a,,,,决策 #42：Enter 在手机上是「确定」，所以交卷改成按住
ui.hint.phone,题不是让你真答的 —— 答案都在翻盖机里。空格掏出 / 收起,界面,,n/a,,,,★决策 #42：手机就是解题器（参考 I Didn't Cheat）
ui.hint.search,「搜题」：输入卷面上的题码，连上就有答案。准，但贵，连接时要一直掏着,界面,,n/a,,,,
ui.hint.ask,「问学霸」：发题号，等回信。便宜，但可能错；回信会响,界面,,n/a,,,,
ui.hint.keys,掏着手机时：数字键按键，Enter 确定，Backspace 返回，W / S 上下；也可以用鼠标直接点手机按键,界面,,n/a,,,,
ui.hint.teacher,老师会下来巡考：听高跟鞋的声音。她停下来转向你 = 起疑，立刻收手机、低头,界面,,n/a,,,,★决策 #43：巡考老师
ui.hint.gaze,被她抓到，她会出现在你身边盯着你 —— 这时候千万别抬头。被记名三次就完了,界面,,n/a,,,,决策 #37 + #44
ui.paper.prev,上一题,界面,,n/a,,,,卷面按钮，写在纸上
ui.paper.next,下一题,界面,,n/a,,,,卷面按钮，写在纸上
