key,src,register,en,en_status,max_chars,lines,font_variant,note
sms.inbox.title,收件箱,短信,,n/a,11,,点阵,翻盖机点阵屏；max_chars 是硬约束（呈现文本）
sms.sender.unknown,未知号码,短信,,n/a,11,,点阵,
sms.sender.self,我的号码,短信,,n/a,11,,点阵,★恐怖：发件人是你自己的号码（5.2）
sms.sender.operator,10086,短信,,n/a,11,,点阵,真实感：运营商短信混在答案里
sms.sender.ace,学霸,短信,,n/a,11,,点阵,★决策 #42「问学霸」的回信人。大多数时候对；遮挡题 / 难题上更容易错（4.4 可信度）——形状和正常答案短信完全一样
sms.sender.parent,妈妈,短信,,n/a,11,,点阵,sms.parent.01 的发件人
sms.sender.teacher,班主任,短信,,n/a,11,,点阵,sms.teacher.01 的发件人
sms.answer.fmt,第{0}题 {1},短信,,n/a,11,,点阵,正常答案短信的形状。语域：不是完整句
sms.suspect.fmt,第{0}题 {1},短信,,n/a,11,,点阵,可疑答案：形式与正常短信完全相同——不区分才是设计（4.4）
sms.unknown.01,第6题 1949,短信,,n/a,11,,点阵,
sms.unknown.02,第6题 2013,短信,,n/a,11,,点阵,可能是错的
sms.unknown.03,你坐第几排,短信,,n/a,11,,点阵,
sms.unknown.04,别回头看窗户,短信,,n/a,11,,点阵,
sms.unknown.05,我也在考,短信,,n/a,11,,点阵,
sms.blank.01,。,短信,,n/a,11,,点阵,★最恐怖的一条：内容只有一个句号（5.2）
sms.late.fmt,第{0}题 {1},短信,,n/a,11,,点阵,在交卷之后才到达（5.2）
sms.mms.photo,＜图片＞,短信,,n/a,11,,点阵,彩信附件：往届考生的脸·其中一张是你（5.2）
sms.compose.placeholder,输入短信…,短信,,n/a,11,,点阵,
sms.compose.sent,已发送,短信,,n/a,11,,点阵,
sms.battery.low,电量不足，请充电,短信,,n/a,11,,点阵,diegetic 资源约束（5.4）
sms.storage.full,短信箱已满,短信,,n/a,11,,点阵,可选：逼迫玩家删短信＝放弃信息
sms.answer.02,第2题 1978,短信,,n/a,11,,点阵,★5.2 用途A：sms.answer.fmt 的实例化。与 answer_chain.csv 的 q.fill.08（固定 1978）同值
sms.suspect.02,第2题 3,短信,,n/a,11,,点阵,★4.4：同一个题号出现两个互相矛盾的答案（sms.answer.02 是 1978）。形式与正常短信完全相同——不区分才是设计
sms.operator.balance,话费余额 3.20元,短信,,n/a,11,,点阵,真实感：「正常」本身就是资产（6.1 的武器就是「正常」）。10086 的短信和答案短信排在同一个收件箱里
sms.spam.01,【辅导班】开课了,短信,,n/a,11,,点阵,垃圾广告（6.1）：2000s 县城高中的短信噪音。越像广告越真实
sms.spam.02,回复TD退订,短信,,n/a,11,,点阵,同一条广告的后半段：正文 15 字超出点阵屏 11 字符硬约束·按真实短信的拆条习惯拆成两条——拆行而不是调大 max_chars
sms.parent.01,考完早点回家,短信,,n/a,11,,点阵,家长短信：中式压力（与 6.3 家长签字同源）。它不提供任何答案·只让「正常」更厚（6.1）
sms.teacher.01,明天开家长会,短信,,n/a,11,,点阵,班主任群发：中式压力（6.1／6.3）。与家长短信同源——你无法从内容判断谁在替你决定
sms.timeline.reply,07 1998.6.7,短信,,n/a,11,,点阵,★恐怖 7.1 第三场异象收尾：你发出去的短信·回信写着你的考号（07）和一个日期。1998 是 2.5.3「年份在变」的终点；正好 11 字符＝点阵屏上限
sms.unknown.06,第12题 7,短信,,n/a,11,,点阵,★5.2 恐怖层：你的卷子只有 8 道题——这条在问一道不存在的题（也可读成别的年份的卷子·2.5.3）。形状与正常答案短信完全相同
sms.sentbox.empty,已发送 0 条,短信,,n/a,11,,点阵,★恐怖 5.2 用途B 的代价：你明明发出去过·发件箱是空的——你发出去的短信在发件箱里不在了。只有在手机上主动查看才看得到（5.4 同理）
sms.carrier,中国移动,短信,,n/a,11,,点阵,待机屏左上角的运营商名
sms.menu.search,搜题,短信,,n/a,11,,点阵,★决策 #42 主菜单 1：输入卷面上的 4 位题码，连移动梦网拿答案。准，但贵
sms.menu.ask,问学霸,短信,,n/a,11,,点阵,★决策 #42 主菜单 2：发题号给学霸，等回信。便宜，但慢，可能错，回信会响
sms.menu.calc,计算器,短信,,n/a,11,,点阵,主菜单 4：合法工具——数学题真的能算出来
sms.menu.profile,情景模式,短信,,n/a,11,,点阵,主菜单 5：响铃 / 静音（决策 #18：不给显式提示）
sms.profile.ring,响铃,短信,,n/a,11,,点阵,响铃：来短信、按键都有声音——她听得见
sms.profile.silent,静音,短信,,n/a,11,,点阵,静音：没有声音，也就没有提醒——回信来了你不知道
sms.search.prompt,输入题码：,短信,,n/a,11,,点阵,
sms.search.loading,正在连接移动梦网,短信,,n/a,11,,点阵,连接期间手机必须一直掏着；收起来就断线
sms.search.result_fmt,第{0}题答案：,短信,,n/a,11,,点阵,{0} 是卷面题号；答案另起一行
sms.search.none,查无此题,短信,,n/a,11,,点阵,题码输错了——连上了，钱照扣
sms.search.price,0.50元/次,短信,,n/a,11,,点阵,真实感：2000s 移动梦网按次计费；连上才扣
sms.ask.prompt,输入题号：,短信,,n/a,11,,点阵,
sms.ask.price,0.10元/条,短信,,n/a,11,,点阵,真实感：短信一毛一条
sms.ask.none,无此题号,短信,,n/a,11,,点阵,卷子上没有这一题
sms.balance.fmt,余额{0}元,短信,,n/a,11,,点阵,与 sms.operator.balance 的 3.20 元同源：话费就是作弊的额度（5.4）
sms.balance.insufficient,余额不足,短信,,n/a,11,,点阵,
sms.inbox.empty,无短信,短信,,n/a,11,,点阵,
sms.home.unread_fmt,{0}条新短信,短信,,n/a,11,,点阵,待机屏提示；静音模式下这是你唯一知道回信到了的方式
sms.softkey.ok,确定,短信,,n/a,11,,点阵,左软键
sms.softkey.back,返回,短信,,n/a,11,,点阵,右软键
sms.calc.help,*换符号 #小数点,短信,,n/a,11,,点阵,计算器底部的一行帮助
