q_id,answer_type,answer,pools,cross_source,occlusions,difficulty,demo,notes
q.fill.01,动态,现行抬头年份 − 45（校庆年数 45）,flag|honor_roll|photo,eraser（借橡皮金属反光看被挡住的那一半）,被书包挡住一半|被玻璃反光吃掉,中,y,★与 2.5.3 年份倒退咬合：同一道题每轮答案都不同——这就是「答案源随机化」的机制来源
q.fill.02,固定,厚德　笃学,board|rules_wall|textbook,,被擦掉一半|被撕掉一角,易,y,文字类；校训被改一个字（6.3）
q.fill.03,固定,下课,board|textbook,,被擦掉一半|缺页,易,y,
q.fill.04,动态,本轮座位表人数（第 4 轮后 +1）,desk_front|honor_roll|ledger|photo,,被身体挡住|被合上,中,y,★与「日光灯闪烁时人数变了」咬合：你数两遍得到两个数
q.fill.05,固定,3,honor_roll|flag,,被新榜覆盖|被糨糊洇湿,易,y,
q.fill.06,动态,本轮名次（逐轮下移一格）,honor_roll|flag,paper_self（先用考号确认红榜上哪一行是你）,被新榜覆盖|被书包挡住一半,中,y,★跨源；与 6.3「每次经过都往下移一格」咬合
q.fill.07,动态,0–15 随机,clock|broadcast,,被蝉鸣盖住|被呼吸声盖住,中,y,★两个计时器互相参照；与 3.4「两个时间差了十分钟」咬合
q.fill.08,固定,1978,flag|honor_roll|photo,,被粉笔灰盖住|被新榜覆盖,中,y,与 2.3「这张脸你早就见过」的伏笔同源
q.fill.09,动态,21（第 4 轮后 22）,desk_front|honor_roll|photo|ledger,,被手臂压住|被翻到别的页,中,y,★与「人数变了」咬合
q.fill.10,固定,白,photo|window,,被玻璃反光吃掉|雨痕,难,y,观察类；两处校服互为印证
q.fill.11,固定,0601,ledger|rules_wall,,被翻到别的页|被撕掉一角,中,y,
q.fill.12,动态,3（逐轮 +1）,ledger|honor_roll,rules_wall（第六条「被记名三次者」——不读规则就不知道「被划掉」是什么意思）,被合上|被新榜覆盖,难,y,★跨源：记名册＋规则墙；你数的不是数字·是被划掉的人（2.6）
q.fill.13,固定,0713,paper_self|desk_front,,被手臂压住,易,y,★自指题：最安全也最容易忽略
q.fill.14,动态,102（逐轮 +1）,back_wall|board,,被下节课板书覆盖,易,y,★与 6.3「倒计时在增加」咬合
