key,src,register,en,en_status,max_chars,lines,font_variant,note
q.fill.01,本校建校于 ______ 年。,卷面,,n/a,,1,印刷体,★日期类·环境通道；答案随 2.5.3 年份倒退而变——「同一道题每轮答案不同」的机制来源
q.fill.02,我校校训是「______」。,卷面,,n/a,,1,印刷体,文字类·环境通道；校训被改一个字（6.3）
q.fill.03,上一节课板书最后留下的两个字是「______」。,卷面,,n/a,,1,印刷体,文字类·环境通道；4.2「上一节课黑板留下的内容」
q.fill.04,本考场考生人数为 ______ 人。,卷面,,n/a,,1,印刷体,★计数类；与 6.3「日光灯闪烁时人数变了」咬合——你数两遍得到两个数
q.fill.05,走廊红榜上你所在班级排在第 ______ 位。,卷面,,n/a,,1,印刷体,数字类·环境通道；红榜是刚贴的·糨糊未干（6.3）
q.fill.06,走廊红榜上你自己的名字排在第 ______ 位。,卷面,,n/a,,1,印刷体,★与 6.3「每次经过都往下移一格」咬合；跨源：红榜＋你的考号
q.fill.07,教室后墙的挂钟比广播报时慢 ______ 分钟。,卷面,,n/a,,1,印刷体,★跨源：挂钟＋广播；与 3.4「两个时间差了十分钟」咬合
q.fill.08,讲台玻璃板下那张照片拍摄于 ______ 年。,卷面,,n/a,,1,印刷体,日期类；与 2.3「这张脸你早就见过」咬合
q.fill.09,讲台玻璃板下那张照片里一共有 ______ 个人。,卷面,,n/a,,1,印刷体,★计数类；与「人数变了」咬合
q.fill.10,那张照片里前排右起第一位穿的校服是 ______ 色。,卷面,,n/a,,1,印刷体,观察类·环境通道
q.fill.11,监考记录本第一页的第一个考号是 ______。,卷面,,n/a,,1,印刷体,数字类；与 2.6 记名册咬合
q.fill.12,监考记录本上被划掉的考号共有 ______ 个。,卷面,,n/a,,1,印刷体,★你数的不是数字·是被划掉的人（2.6）
q.fill.13,你本人的考号是 ______。,卷面,,n/a,,1,印刷体,★自指题：答案只在你自己的卷面上——最安全也最容易忽略
q.fill.14,教室后墙上写着「距高考还有 ______ 天」。,卷面,,n/a,,1,印刷体,★与 6.3「倒计时在增加」咬合
q.fill.15,本场考试的答题卡共有 ______ 页。,卷面,,n/a,,1,印刷体,计数类·环境通道
q.fill.16,你左前方同学的答题卡上，第一题选的是 ______。,卷面,,n/a,,1,印刷体,观察类；前桌的身体会挡住（4.2）——最常见的不可靠源（4.4）
q.fill.17,你左前方同学的答题卡上，涂错的题号是 ______。,卷面,,n/a,,1,印刷体,★4.4：有人故意写错·因为他也在作弊
q.fill.18,黑板上擦不掉的那个字是「______」。,卷面,,n/a,,1,印刷体,文字类；与 6.3「黑板上的字多一笔」咬合
q.fill.19,教室后墙贴的《考试时间安排表》里，本场考试的结束时间是 ______。,卷面,,n/a,,1,印刷体,文字类·环境通道；与第三部分广播报时互为参照
q.fill.20,吊扇上挂着 ______ 件东西。,卷面,,n/a,,1,印刷体,★与 6.3 吊扇挂物咬合
q.fill.21,后门毛玻璃上的裂纹有 ______ 道。,卷面,,n/a,,1,印刷体,观察类·环境通道
q.fill.22,《考场规则》第五条写的是「被监考老师注视时，不能 ______」。,卷面,,n/a,,1,印刷体,★★这一题的答案就是杀死你的那条规则（2.2）——抄它的过程本身违规
q.fill.23,你父亲的签名出现在第 ______ 次模拟考试的卷子上。,卷面,,n/a,,1,印刷体,★与 6.3「家长签字」咬合；他从来没来过学校。跨源：签名＋抬头次数
q.fill.24,那张照片里站在最后一排的人比前排的人早 ______ 届。,卷面,,n/a,,1,印刷体,观察类·环境通道
q.fill.25,窗外那个人穿的校服，和你差 ______ 届。,卷面,,n/a,,1,印刷体,★与 6.3「窗外」咬合；跨源：窗外＋旧照片
q.math.01,校庆每 5 年举办一次，上一次是 2018 年，下一次是 ______ 年。,卷面,,n/a,,1,印刷体,数学类·手机通道（计算器）；★答案是年份·与 2.5.3 呼应
q.math.02,一件商品原价 120 元，打八折后的价格是 ______ 元。,卷面,,n/a,,1,印刷体,数学类·手机通道（计算器）
q.math.03,本次考试总分 100 分，及格线 60 分，你目前得了 58 分，还差 ______ 分及格。,卷面,,n/a,,1,印刷体,★数学类·手机通道；你在为「及格」这件事作弊
